year,sum_alt,sum_jung
1989,1630,56
1990,16315,1083
1991,17994,881
1992,16249,1723
1993,16049,1071
1994,18479,1516
1995,18073,1621
1996,17848,989
1997,24298,3517
1998,14656,1173
1999,22052,3084
2000,21657,2110
2001,28117,5021
2002,33110,4467
2003,19024,3565
2004,20991,4682
2005,28381,5805
2006,26979,3855
2007,34201,3348
2008,28855,5180
2009,37156,4716
2010,41277,6757
2011,38757,7772
2012,42089,5848
2013,44441,8100
2014,49840,7503
2015,49185,9115
2016,23831,10134
2017,26429,11736
2018,16468,7470
2019,24825,10691
2020,26696,12517
2021,24440,11138
